Clase,Clave,Tema,Subdivición.,,,,
3780,Q,Fisiología,Los sentidos - Visión - Condiciones patológicas,,,,
3790,Q,Fisiología,Los sentidos - Visión - Acción de los agentes físicos y químicos,,,,
4000,Q,Fisiología,"Músculo. Nervioso. Electrofisiología - Músculo - Generalidades. (Ver también 1180, 2260- 2424; P0600.)",,,,
4010,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Estructura y desarrollo.,,,,
4015,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Modo de terminación de los nervios,,,,
4020,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Caracteres Físicos.,,,,
4021,Q,Fisiología,"Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Mecánicos. (Elasticidad, etc.)",,,,
4022,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Fenómenos ópticos.,,,,
4025,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Caracteres químicos.,,,,
4030,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Contracción muscular.,,,,
4031,Q,Fisiología,"Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Miografía. (Cardiografía,
etc.)",,,,
4032,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Cambios químicos durante la contracción muscular.,,,,
4033,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Ejecución del trabajo.,,,,
4034,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Producción de El calor.,,,,
4035,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Fatiga,,,,
4036,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo -  Rigidez.,,,,
4040,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Metabolismo muscular.,,,,
4041,Q,Fisiología,"Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Teorías de la actividad 
actividad muscular",,,,
4042,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Fuentes de energía muscular.,,,,
4044,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Rigor Mortis.,,,,
4045,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Circulación en el músculo.,,,,
4050,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Excitación y Excitabilidad.,,,,
4051,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Conducción del proceso excitatorio.,,,,
4055,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Actividad automática y rítmica. Tono muscular,,,,
4056,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo -  Peristaltismo. ,,,,
4060,Q,Fisiología,Músculo. Nervioso. Electrofisiologíafisiología - Músculo - Funciones de las terminaciones nerviosas motoras,,,,
4061,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Músculo - Funciones de las terminaciones nerviosas sensoriales,,,,
4062,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Músculo -  Contracción voluntaria,,,,
4065,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Músculo - Inhibición,,,,
4080,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Músculo - Condiciones patológicas.,,,,
4090,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Músculo - Acción de los agentes físicos y químicos. (Los fenómenos electromotores y la Polarización del músculo se catalogan en Electrofisiología. Ver 4510.,,,,
4100,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Generalidades,,,,
4130,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Locomoción,,,,
4140,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Laringe. (Véase también O 3300; P 1470.),,,,
4141,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Producción de la voz.,,,,
4142,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Habla.,,,,
4145,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Producción del sonido por medios distintos a la Laringe,,,,
4150,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Otros movimientos. {Ver también P 2040.),,,,
4151,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Prensil,,,,
4152,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Escritura.,,,,
4153,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Expresión de las emociones. {Ver también 2820 ; P 2090.),,,,
4160,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Funciones de las articulaciones. {Ver también O 2220.),,,,
4180,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Condiciones patológicas.,,,,
4190,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Mecanismos de motor especiales - Acción de los agentes físicos y químicos ,,,,
4200,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Generalidades,,,,
4210,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Estructura y desarrollo. (Véase también O 1270.),,,,
4220,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio - Características físicas,,,,
4225,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Caracteres químicos,,,,
4230,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio - Actividad del nervio.,,,,
4235,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Fatiga,,,,
4240,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Metabolismo,,,,
4241,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Degeneración.,,,,
4242,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Regeneración,,,,
4245,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Circulación,,,,
4250,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Excitación y Excitabilidad. ,,,,
4251,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Conducción del proceso excitatorio.,,,,
4270,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Nervios de Invertebrados.,,,,
4280,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Condiciones patológicas.,,,,
4290,Q,Fisiología,Músculo. Nervioso. Electrofisiología -Nervio -  Acción de los agentes físicos y químicos. (Fenómenos electromotores y  Polarización del nervio se  catalogados en Electrofisiología. Ver 4520),,,,
4500,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Generalidades,,,,
4510,Q,Fisiología,"Músculo. Nervioso. Electrofisiología - Electrofisiología - Músculo. (* 1, -2, '3, '4, como se explica en Músculo). ",,,,
4512,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Fenómeno electromotriz. ,,,,
4515,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Polarización.,,,,
4516,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Electrotono.,,,,
4520,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Nervio ,,,,
4521,Q,Fisiología,"Músculo. Nervioso. Electrofisiología - Electrofisiología - Nervio - Analogías físicas, Kernleiter Modelo.",,,,
4522,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Nervio - Fenómenos electromotores. ,,,,
4525,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Nervio - Polarización.,,,,
4526,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Nervio - Electrotono.,,,,
4530,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Médula espinal y cerebro.,,,,
4540,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Órganos de los sentidos.,,,,
4541,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Retina.,,,,
4550,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Glándulas.,,,,
4551,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Glándulas de la piel.,,,,
4560,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Órganos eléctricos.,,,,
4561,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Estructura y desarrollo. ,,,,
4562,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Caracteres químicos.,,,,
4563,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Funciones.,,,,
4570,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Plantas.,,,,
4580,Q,Fisiología,Músculo. Nervioso. Electrofisiología - Electrofisiología - Protoplasma indiferenciado.,,,,
5000,Q,Fisiología,La sangre y el sistema circulatorio - La sangre como un todo - Generalidades,,,,
5001,Q,Fisiología,La sangre y el sistema circulatorio - La sangre como un todo - Cantidad.,,,,
5020,Q,Fisiología,La sangre y el sistema circulatorio - La sangre como un todo - Características físicas generales.,,,,
5025,Q,Fisiología,La sangre y el sistema circulatorio - La sangre como un todo - Características químicas generales. ,,,,
5028,Q,Fisiología,"La sangre y el sistema circulatorio - La sangre como un todo - Enzimas de la sangre. Gases (Ver también Respiración, 6220.)",,,,
5030,Q,Fisiología,La sangre y el sistema circulatorio - La sangre como un todo - Características fisiológicas generales. ,,,,
5040,Q,Fisiología,La sangre y el sistema circulatorio - La sangre como un todo - Coagulación.,,,,
5050,Q,Fisiología,La sangre y el sistema circulatorio - La sangre como un todo - Hemorragia y plétora. Transfusión. Infusión.,,,,
5070,Q,Fisiología,La sangre y el sistema circulatorio - La sangre como un todo - La sangre de los invertebrados. (Véase también N 0207.),,,,
5080,Q,Fisiología,La sangre y el sistema circulatorio - La sangre como un todo - Condiciones Patológicas.,,,,
5090,Q,Fisiología,La sangre y el sistema circulatorio - La sangre como un todo - Acción de los agentes físicos y químicos.,,,,
5100,Q,Fisiología,La sangre y el sistema circulatorio - Los glóbulos rojos - Generalidades,,,,
5106,Q,Fisiología,La sangre y el sistema circulatorio - Los glóbulos rojos - Número,,,,
5110,Q,Fisiología,La sangre y el sistema circulatorio - Los glóbulos rojos - Estructura y desarrollo. (Ver  también O 0600.),,,,
5120,Q,Fisiología,La sangre y el sistema circulatorio - Los glóbulos rojos -Características físicas.,,,,
5125,Q,Fisiología,La sangre y el sistema circulatorio - Los glóbulos rojos - Caracteres químicos.,,,,
5126,Q,Fisiología,La sangre y el sistema circulatorio - Los glóbulos rojos - Origen y destrucción de la hemoglobina. (Para la química de la Hemoglobina ver 1155.),,,,
5130,Q,Fisiología,La sangre y el sistema circulatorio - Los glóbulos rojos - Funciones.,,,,
5180,Q,Fisiología,La sangre y el sistema circulatorio - Los glóbulos rojos - Condiciones patológicas.,,,,
5190,Q,Fisiología,La sangre y el sistema circulatorio - Los glóbulos rojos - Acción de los Agentes Físicos y Químicos ,,,,
5200,Q,Fisiología,La sangre y el sistema circulatorio - Los corpúsculos blancos - Generalidades,,,,
5201,Q,Fisiología,La sangre y el sistema circulatorio - Los corpúsculos blancos - Número ,,,,
5202,Q,Fisiología,La sangre y el sistema circulatorio - Los corpúsculos blancos - Leucocitosis. (Ver también R 3550.),,,,
5210,Q,Fisiología,La sangre y el sistema circulatorio - Los corpúsculos blancos - Estructura y desarrollo. (Ver también O 0610.),,,,
5220,Q,Fisiología,La sangre y el sistema circulatorio - Los corpúsculos blancos - Caracteres físicos.,,,,
5225,Q,Fisiología,La sangre y el sistema circulatorio - Los corpúsculos blancos - Características químicas.,,,,
5230,Q,Fisiología,"La sangre y el sistema circulatorio - Los corpúsculos blancos - Funciones. Fagocitosis, etc. ",,,,
5280,Q,Fisiología,La sangre y el sistema circulatorio - Los corpúsculos blancos - Acción de los agentes físicos y químicos ,,,,
5290,Q,Fisiología,La sangre y el sistema circulatorio - Los corpúsculos blancos - Plaquetas de la sangre y elementos formados ,,,,
5300,Q,Fisiología,La sangre y el sistema circulatorio - Los corpúsculos blancos - distintos de los glóbulos rojos y blancos. (Véase también O 0620.),,,,
5400,Q,Fisiología,La sangre y el sistema circulatorio - Plasma sanguíneo - Generalidades,,,,
5420,Q,Fisiología,La sangre y el sistema circulatorio - Plasma sanguíneo - Características físicas.,,,,
5425,Q,Fisiología,La sangre y el sistema circulatorio - Plasma sanguíneo - Composición química.,,,,
5430,Q,Fisiología,"La sangre y el sistema circulatorio - Plasma sanguíneo - Características fisiológicas. (Véase tambiénCoagulación de la sangre, 5040.)",,,,
5440,Q,Fisiología,La sangre y el sistema circulatorio - Plasma sanguíneo - Origen y componentes del plasma sanguíneo.,,,,
5450,Q,Fisiología,La sangre y el sistema circulatorio - Suero sanguíneo - Generalidades.,,,,
5470,Q,Fisiología,La sangre y el sistema circulatorio - Suero sanguíneo - Características físicas.,,,,
5475,Q,Fisiología,La sangre y el sistema circulatorio - Suero sanguíneo - Composición química.,,,,
5480,Q,Fisiología,"La sangre y el sistema circulatorio - Suero sanguíneo - Características fisiológicas (por ejemplo  Funciones Globulicida, Citolítica y Bactericida). Aglutinación (véase también 0297) y Precipitación",,,,
5490,Q,Fisiología,La sangre y el sistema circulatorio - Suero sanguíneo - Origen y componentes del suero sanguíneo.,,,,
5500,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Generalidades,,,,
5530,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Principios mecánicos de la circulación.,,,,
5531,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Presión sanguínea.,,,,
4432,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Velocidad del flujo sanguíneo.,,,,
5533,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Tiempo de circulación.,,,,
5534,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - El pulso.,,,,
5535,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Efecto de la gravedad.,,,,
5536,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Efecto de los movimientos respiratorios.,,,,
5540,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Características especiales de la circulación pulmonar.,,,,
5570,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - La circulación en las diferentes clases de Clases del Reino Animal. (Véase también N 0207.),,,,
5580,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Condiciones patológicas.,,,,
5587,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Influencia de la asfixia.,,,,
5590,Q,Fisiología,La sangre y el sistema circulatorio - Circulación de la sangre en general - Acción de los agentes químicos y químicos y físicos.,,,,
5600,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Generalidades,,,,
5610,Q,Fisiología,La sangre y el sistema circulatorio - El corazón -  Estructura y desarrollo. (Vertambién 2560.),,,,
5620,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Características físicas del corazón y de los latidos.,,,,
5621,Q,Fisiología,"La sangre y el sistema circulatorio - El corazón - Cambios generales de la forma.Latido del vértice, etc",,,,
5622,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Pericardio. (Ver también 2560.),,,,
5623,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Volumen y gasto cardíaco. ,,,,
5624,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Presión endocárdica,,,,
5625,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Trabajo realizado por el corazón. ,,,,
5626,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Sonidos cardíacos,,,,
5630,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Características fisiológicas generales del corazón. ,,,,
5631,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Ritmo,,,,
5640,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Metabolismo,,,,
5645,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Circulación del corazón.,,,,
5650,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Excitación y Excitabilidad.,,,,
5651,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Propagación del proceso excitatorio.,,,,
5660,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Inervación,,,,
5661,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Acción del Vago,,,,
5662,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Acción del simpático.,,,,
5663,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Nervios Aferentes.,,,,
5664,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Reflejos cardíacos. ,,,,
5670,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - El corazón de los vertebrados.,,,,
5680,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Condiciones patológicas.,,,,
5681,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Fallo de compensación.,,,,
5687,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Influencia de la asfixia,,,,
5690,Q,Fisiología,La sangre y el sistema circulatorio - El corazón - Acción de los agentes físicos y químicos.,,,,
5700,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Generalidades,,,,
5710,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Estructura y desarrollo. (Ver  también O 2540-2640).,,,,
5720,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Propiedades físicas.,,,,
5730,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Propiedades fisiológicas.,,,,
5735,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Diapédesis.,,,,
5736,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Inflamación.,,,,
5740,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Nutrición y Circulación en los vasos sanguíneos.,,,,
5760,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Inervación.,,,,
5761,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Nervios vasomotores.,,,,
5764,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Reflejos vasomotores.,,,,
5765,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Tono vascular.,,,,
5770,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Vasos sanguíneos de los invertebrados.,,,,
5780,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Condiciones patológicas.,,,,
5787,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Influencia de la asfixia.,,,,
5790,Q,Fisiología,La sangre y el sistema circulatorio - Los vasos sanguíneos - Acción de los agentes físicos y químicos ,,,,
5800,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Generalidades.,,,,
5810,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Estructura y desarrollo. (Ver también O 2660-2700.),,,,
5811,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Elementos formados de la linfa. ,,,,
5812,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Tejido linfático.,,,,
5813,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Corazones y vasos linfáticos.,,,,
5814,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Membranas Serosas.,,,,
5820,Q,Fisiología,"La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Membranas sinoviales. (Ver cdso 
O 2420.)",,,,
5825,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Composición.,,,,
5827,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Ganglios linfáticos.,,,,
5828,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Linfa y quilo.,,,,
5829,Q,Fisiología,"La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Sinovial, Pericárdico, Peritoneal y otros fluidos serosos.",,,,
5830,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Formación de la linfa.,,,,
5840,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Características fisiológicas.,,,,
5841,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Coagulación.,,,,
5843,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Funcionamientos.,,,,
5845,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Absorción en el canal alimentario.,,,,
5846,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Absorción desde las cavidades serosas y los tejidos conectivos.,,,,
5850,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Movimientos de la linfa.,,,,
5853,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Características fisiológicas (incluida la inervación) de la linfa Corazones y vasos.,,,,
5880,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Condiciones patológicas de la linfa y los tejidos linfáticos. Edema.,,,,
5885,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Pus.,,,,
5890,Q,Fisiología,La sangre y el sistema circulatorio - Estructuras linfoides. La linfa y los Fluidos Aliados - Acción de los agentes físicos y químicos ,,,,
6000,Q,Fisiología,Respiración. Calor animal - La respiracion en general - Generalidades,,,,
6020,Q,Fisiología,Respiración. Calor animal - La respiracion en general - Química del aire y otros medios respiratorios.,,,,
6024,Q,Fisiología,Respiración. Calor animal - La respiracion en general - Impurezas.,,,,
6026,Q,Fisiología,"Respiración. Calor animal - La respiracion en general - Ventilación, etc.",,,,
6100,Q,Fisiología,Respiración. Calor animal -  Mecanismo neuro-muscular del movimiento pulmonar - Generalidades.,,,,
6105,Q,Fisiología,Respiración. Calor animal -  Mecanismo neuro-muscular del movimiento pulmonar - Ritmo.,,,,
6120,Q,Fisiología,Respiración. Calor animal -  Mecanismo neuro-muscular del movimiento pulmonar - Mecanismo. Presión intrapleural.,,,,
6160,Q,Fisiología,Respiración. Calor animal -  Mecanismo neuro-muscular del movimiento pulmonar - Infuencia del Sistema Nervioso. ,,,,
6165,Q,Fisiología,"Respiración. Calor animal -  Mecanismo neuro-muscular del movimiento pulmonar - Alteraciones del ritmo. (Apnea, Respiración de Cheyne-Stokes, etc.)",,,,
6180,Q,Fisiología,Respiración. Calor animal -  Mecanismo neuro-muscular del movimiento pulmonar - Condiciones Patológicas.,,,,
6185,Q,Fisiología,Respiración. Calor animal -  Mecanismo neuro-muscular del movimiento pulmonar - Asfixia.,,,,
6190,Q,Fisiología,Respiración. Calor animal -  Mecanismo neuro-muscular del movimiento pulmonar - Acción de agentes físicos y químicos.,,,,
6200,Q,Fisiología,Respiración. Calor animal -  Características químicas generales de la respiración pulmonar - Generalidades,,,,
6210,Q,Fisiología,Respiración. Calor animal -  Características químicas generales de la respiración pulmonar - Los gases en los pulmones.,,,,
6220,Q,Fisiología,Respiración. Calor animal -  Características químicas generales de la respiración pulmonar - Los gases en la sangre.,,,,
6225,Q,Fisiología,Respiración. Calor animal -  Características químicas generales de la respiración pulmonar - Efecto de las condiciones alteradas sobre la cantidad y la tensión de los gases sanguíneos.,,,,
6230,Q,Fisiología,Respiración. Calor animal -  Características químicas generales de la respiración pulmonar - Mecanismo de los intercambios gaseosos en los pulmones (véase también 6430).,,,,
6235,Q,Fisiología,Respiración. Calor animal -  Características químicas generales de la respiración pulmonar - Los Gases Expirados.,,,,
6240,Q,Fisiología,"Respiración. Calor animal -  Características químicas generales de la respiración pulmonar - Los Gases en los Tejidos, Fluidos animales, etc.",,,,
6250,Q,Fisiología,Respiración. Calor animal -  Características químicas generales de la respiración pulmonar - La respiración interna.,,,,
6260,Q,Fisiología,Respiración. Calor animal -  Características químicas generales de la respiración pulmonar - Cambios respiratorios totales.,,,,
6265,Q,Fisiología,"Respiración. Calor animal -  Características químicas generales de la respiración pulmonar - Efecto de varias condiciones en el intercambio total. (Alimentación, Ejercicio, medicamentos, enfermedades, etc.)",,,,
6300,Q,Fisiología,"Respiración. Calor animal -  Fisiología de las vías respiratorias. (Nariz, faringe, laringe, Tráquea, Bronquios) - Generalidades",,,,
6310,Q,Fisiología,"Respiración. Calor animal -  Fisiología de las vías respiratorias. (Nariz, faringe, laringe, Tráquea, Bronquios) - Estructura y desarrollo. ",,,,
6320,Q,Fisiología,"Respiración. Calor animal -  Fisiología de las vías respiratorias. (Nariz, faringe, laringe, Tráquea, Bronquios) - Propiedades físicas y químicas. Sonidos respiratorios.",,,,
6340,Q,Fisiología,"Respiración. Calor animal -  Fisiología de las vías respiratorias. (Nariz, faringe, laringe, Tráquea, Bronquios) - Secreción y Excreción.",,,,
6345,Q,Fisiología,"Respiración. Calor animal -  Fisiología de las vías respiratorias. (Nariz, faringe, laringe, Tráquea, Bronquios) - Circulación en las vías respiratorias.",,,,
6360,Q,Fisiología,"Respiración. Calor animal -  Fisiología de las vías respiratorias. (Nariz, faringe, laringe, Tráquea, Bronquios) - Mecanismos Neurovasculares. ",,,,
6380,Q,Fisiología,"Respiración. Calor animal -  Fisiología de las vías respiratorias. (Nariz, faringe, laringe, Tráquea, Bronquios) - Condiciones Patológicas",,,,
6390,Q,Fisiología,"Respiración. Calor animal -  Fisiología de las vías respiratorias. (Nariz, faringe, laringe, Tráquea, Bronquios) - Acción de los agentes físicos y químicos ",,,,
6400,Q,Fisiología,Respiración. Calor animal -  Fisiología de los pulmones (incluyendo Bronquiolos). -Generalidades ,,,,
6410,Q,Fisiología,Respiración. Calor animal -  Fisiología de los pulmones (incluyendo Bronquiolos). -Estructura y desarrollo. (Ver también O 3340). ,,,,
6420,Q,Fisiología,Respiración. Calor animal -  Fisiología de los pulmones (incluyendo Bronquiolos). -Propiedades físicas y químicas. Sonidos respiratorios. ,,,,
6430,Q,Fisiología,Respiración. Calor animal -  Fisiología de los pulmones (incluyendo Bronquiolos). - Funciones de los pulmones.,,,,
6440,Q,Fisiología,Respiración. Calor animal -  Fisiología de los pulmones (incluyendo Bronquiolos). - Metabolismo de los pulmones. ,,,,
6445,Q,Fisiología,Respiración. Calor animal -  Fisiología de los pulmones (incluyendo Bronquiolos). -Metabolismo de los pulmones.  ,,,,
6450,Q,Fisiología,Respiración. Calor animal -  Fisiología de los pulmones (incluyendo Bronquiolos). -La pleura. (Véase también O 3360.)  ,,,,
6460,Q,Fisiología,Respiración. Calor animal -  Fisiología de los pulmones (incluyendo Bronquiolos). - Inervación.,,,,
6480,Q,Fisiología,Respiración. Calor animal -  Fisiología de los pulmones (incluyendo Bronquiolos). - Condiciones patológicas.,,,,
6487,Q,Fisiología,Respiración. Calor animal -  Fisiología de los pulmones (incluyendo Bronquiolos). -Influencia de la asfixia ,,,,
